id,problem,variant,seed,l2_original_budget,l2_double_budget,l2_difference,maximum_original_budget,maximum_double_budget
helmholtz__neither__33,helmholtz,neither,33,0.10886854084183609,0.07436641820531241,-0.03450212263652368,0.26813474374614793,0.16983298620567994
helmholtz__local_only__33,helmholtz,local_only,33,0.08546450855744707,0.018206455503622883,-0.06725805305382418,0.1156114127798427,0.03467209437976515
allen_cahn__local_only__33,allen_cahn,local_only,33,0.024146806300804177,0.012821537007103674,-0.011325269293700502,0.04622444851391705,0.024367471899301857
allen_cahn__global_only__33,allen_cahn,global_only,33,0.05735610418397149,0.016272142994251018,-0.04108396118972047,0.10489551916053708,0.036764908295311885
wave__global_only__33,wave,global_only,33,0.27447908536787125,0.159903276609799,-0.11457580875807225,0.5188315293566164,0.30036917987562933
burgers__global_only__44,burgers,global_only,44,0.19077723866381752,0.1828766569794146,-0.007900581684402913,1.4638623958910009,1.7613984767612272
wave__full_quad__44,wave,full_quad,44,0.1116055971402331,0.03804475896798666,-0.07356083817224644,0.16241654852973708,0.0481614116684298
burgers__neither__44,burgers,neither,44,0.19885549336976396,0.1776457304499521,-0.02120976291981186,1.4586786125677265,1.6619749268079371
allen_cahn__global_only__44,allen_cahn,global_only,44,0.08912637494198099,0.0382119900559502,-0.05091438488603079,0.16372858229135656,0.08093111182745111
helmholtz__global_only__44,helmholtz,global_only,44,0.13005194038004628,0.010183238292470748,-0.11986870208757552,0.17385648963041112,0.02065181461580048
wave__neither__44,wave,neither,44,0.2771575858486032,0.1166684085844867,-0.16048917726411654,0.39596677269046276,0.15979803241217228
burgers__full_quad__44,burgers,full_quad,44,0.2936090816304822,0.33595673742192483,0.04234765579144262,1.9035389250809014,1.9409789536081683
wave__local_only__44,wave,local_only,44,0.1344055170440886,0.027481913342025672,-0.10692360370206293,0.1936070574209413,0.03258565054888024
wave__global_only__44,wave,global_only,44,0.2810274659985003,0.13121757579344315,-0.14980989020505717,0.39591119344045456,0.17477960573587126
allen_cahn__full_quad__44,allen_cahn,full_quad,44,0.0701497296303169,0.02835833404425346,-0.04179139558606344,0.08411210016156219,0.043960926280037504
allen_cahn__neither__44,allen_cahn,neither,44,0.11026611083646189,0.042879063532044785,-0.06738704730441711,0.18726055923457718,0.09260018614303261
